date,day_of_week,is_weekend,month,is_holiday,holiday_name,is_monsoon,is_mega_block_day,station_id,station_name,station_order,distance_km,station_type,is_interchange,direction,hour,coach_type,rainfall_mm,temp_max_c,temp_min_c,temperature_c,rain_intensity_band,rain_regime,occupancy_pct
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S00,CSMT,0,0.0,cbd_terminal,True,DOWN,13,Ladies,0.0,31.5,18.7,25.1,none,normal,11.3
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S00,CSMT,0,0.0,cbd_terminal,True,UP,18,General,0.0,31.5,18.7,25.1,none,normal,27.8
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S01,Masjid,1,1.2,industrial_dock,False,DOWN,16,First Class,0.0,31.5,18.7,25.1,none,normal,0.0
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S02,Sandhurst Road,2,2.3,industrial_dock,False,UP,19,First Class,0.0,31.5,18.7,25.1,none,normal,9.5
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S03,Dockyard Road,3,3.2,industrial_dock,False,DOWN,18,General,0.0,31.5,18.7,25.1,none,normal,22.1
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S03,Dockyard Road,3,3.2,industrial_dock,False,UP,19,First Class,0.0,31.5,18.7,25.1,none,normal,19.9
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S03,Dockyard Road,3,3.2,industrial_dock,False,UP,20,Ladies,0.0,31.5,18.7,25.1,none,normal,21.9
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S04,Reay Road,4,4.0,industrial_dock,False,DOWN,21,General,0.0,31.5,18.7,25.1,none,normal,0.5
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S05,Cotton Green,5,5.0,industrial_dock,False,DOWN,15,Ladies,0.0,31.5,18.7,25.1,none,normal,0.0
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S06,Sewri,6,6.4,industrial_dock,False,DOWN,23,Ladies,0.0,31.5,18.7,25.1,none,normal,0.0
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S07,Wadala Road,7,8.4,interchange_hub,True,UP,7,First Class,0.0,31.5,18.7,25.1,none,normal,30.7
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S07,Wadala Road,7,8.4,interchange_hub,True,DOWN,11,First Class,0.0,31.5,18.7,25.1,none,normal,14.6
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S07,Wadala Road,7,8.4,interchange_hub,True,DOWN,20,General,0.0,31.5,18.7,25.1,none,normal,35.6
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S08,GTB Nagar,8,9.6,residential,False,DOWN,8,General,0.0,31.5,18.7,25.1,none,normal,32.3
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S08,GTB Nagar,8,9.6,residential,False,UP,9,Ladies,0.0,31.5,18.7,25.1,none,normal,73.2
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S08,GTB Nagar,8,9.6,residential,False,UP,15,First Class,0.0,31.5,18.7,25.1,none,normal,3.0
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S09,Chunabhatti,9,10.8,residential,False,DOWN,6,Ladies,0.0,31.5,18.7,25.1,none,normal,17.7
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S09,Chunabhatti,9,10.8,residential,False,DOWN,12,General,0.0,31.5,18.7,25.1,none,normal,16.1
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S10,Kurla,10,12.6,interchange_hub,True,DOWN,12,General,0.0,31.5,18.7,25.1,none,normal,17.8
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S10,Kurla,10,12.6,interchange_hub,True,UP,14,General,0.0,31.5,18.7,25.1,none,normal,7.6
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S10,Kurla,10,12.6,interchange_hub,True,UP,21,First Class,0.0,31.5,18.7,25.1,none,normal,14.2
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S11,Tilak Nagar,11,14.0,residential,False,UP,9,First Class,0.0,31.5,18.7,25.1,none,normal,65.9
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S11,Tilak Nagar,11,14.0,residential,False,UP,13,General,0.0,31.5,18.7,25.1,none,normal,33.2
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S11,Tilak Nagar,11,14.0,residential,False,DOWN,22,General,0.0,31.5,18.7,25.1,none,normal,31.1
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S12,Chembur,12,16.2,residential,False,UP,7,First Class,0.0,31.5,18.7,25.1,none,normal,23.3
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S12,Chembur,12,16.2,residential,False,UP,15,First Class,0.0,31.5,18.7,25.1,none,normal,8.6
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S12,Chembur,12,16.2,residential,False,UP,16,Ladies,0.0,31.5,18.7,25.1,none,normal,17.6
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S13,Govandi,13,18.4,residential,False,DOWN,5,General,0.0,31.5,18.7,25.1,none,normal,11.4
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S13,Govandi,13,18.4,residential,False,UP,8,General,0.0,31.5,18.7,25.1,none,normal,62.7
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S13,Govandi,13,18.4,residential,False,DOWN,10,Ladies,0.0,31.5,18.7,25.1,none,normal,17.3
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S14,Mankhurd,14,20.6,residential,False,UP,11,Ladies,0.0,31.5,18.7,25.1,none,normal,18.9
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S15,Vashi,15,24.8,interchange_hub,True,UP,5,First Class,0.0,31.5,18.7,25.1,none,normal,0.0
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S15,Vashi,15,24.8,interchange_hub,True,UP,19,General,0.0,31.5,18.7,25.1,none,normal,18.0
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S15,Vashi,15,24.8,interchange_hub,True,DOWN,21,First Class,0.0,31.5,18.7,25.1,none,normal,0.0
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S16,Sanpada,16,26.6,residential,False,UP,15,Ladies,0.0,31.5,18.7,25.1,none,normal,27.0
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S16,Sanpada,16,26.6,residential,False,DOWN,22,General,0.0,31.5,18.7,25.1,none,normal,34.7
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S17,Juinagar,17,28.6,residential,False,DOWN,16,First Class,0.0,31.5,18.7,25.1,none,normal,6.6
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S17,Juinagar,17,28.6,residential,False,UP,22,First Class,0.0,31.5,18.7,25.1,none,normal,2.2
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S18,Nerul,18,31.0,residential,False,DOWN,10,General,0.0,31.5,18.7,25.1,none,normal,26.0
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S18,Nerul,18,31.0,residential,False,UP,12,Ladies,0.0,31.5,18.7,25.1,none,normal,15.6
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S18,Nerul,18,31.0,residential,False,UP,16,Ladies,0.0,31.5,18.7,25.1,none,normal,15.7
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S19,Seawoods-Darave,19,33.4,residential,False,DOWN,9,First Class,0.0,31.5,18.7,25.1,none,normal,24.9
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S19,Seawoods-Darave,19,33.4,residential,False,UP,11,General,0.0,31.5,18.7,25.1,none,normal,19.2
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S19,Seawoods-Darave,19,33.4,residential,False,DOWN,14,General,0.0,31.5,18.7,25.1,none,normal,19.1
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S20,Belapur CBD,20,36.4,secondary_cbd,False,DOWN,9,First Class,0.0,31.5,18.7,25.1,none,normal,34.8
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S20,Belapur CBD,20,36.4,secondary_cbd,False,UP,14,General,0.0,31.5,18.7,25.1,none,normal,14.3
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S20,Belapur CBD,20,36.4,secondary_cbd,False,DOWN,18,Ladies,0.0,31.5,18.7,25.1,none,normal,65.3
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S22,Mansarovar,22,42.4,residential,False,DOWN,14,First Class,0.0,31.5,18.7,25.1,none,normal,16.8
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S22,Mansarovar,22,42.4,residential,False,UP,19,General,0.0,31.5,18.7,25.1,none,normal,35.5
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S22,Mansarovar,22,42.4,residential,False,DOWN,20,General,0.0,31.5,18.7,25.1,none,normal,90.2
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S22,Mansarovar,22,42.4,residential,False,UP,23,General,0.0,31.5,18.7,25.1,none,normal,24.4
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S23,Khandeshwar,23,44.6,residential,False,DOWN,8,General,0.0,31.5,18.7,25.1,none,normal,29.9
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S23,Khandeshwar,23,44.6,residential,False,DOWN,21,Ladies,0.0,31.5,18.7,25.1,none,normal,33.4
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S23,Khandeshwar,23,44.6,residential,False,UP,22,Ladies,0.0,31.5,18.7,25.1,none,normal,0.0
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S24,Panvel,24,47.6,terminal_hub,True,UP,11,Ladies,0.0,31.5,18.7,25.1,none,normal,0.0
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S24,Panvel,24,47.6,terminal_hub,True,UP,12,Ladies,0.0,31.5,18.7,25.1,none,normal,0.0
2023-01-01,Sunday,True,1,True,New Year's Day,False,False,S24,Panvel,24,47.6,terminal_hub,True,UP,23,General,0.0,31.5,18.7,25.1,none,normal,0.0
2023-01-02,Monday,False,1,False,,False,False,S00,CSMT,0,0.0,cbd_terminal,True,UP,17,Ladies,0.0,29.6,17.4,23.5,none,normal,56.4
2023-01-02,Monday,False,1,False,,False,False,S00,CSMT,0,0.0,cbd_terminal,True,UP,22,First Class,0.0,29.6,17.4,23.5,none,normal,0.5
2023-01-02,Monday,False,1,False,,False,False,S01,Masjid,1,1.2,industrial_dock,False,UP,19,General,0.0,29.6,17.4,23.5,none,normal,50.6
2023-01-02,Monday,False,1,False,,False,False,S02,Sandhurst Road,2,2.3,industrial_dock,False,DOWN,7,First Class,0.0,29.6,17.4,23.5,none,normal,0.6
2023-01-02,Monday,False,1,False,,False,False,S02,Sandhurst Road,2,2.3,industrial_dock,False,DOWN,21,General,0.0,29.6,17.4,23.5,none,normal,9.5
2023-01-02,Monday,False,1,False,,False,False,S02,Sandhurst Road,2,2.3,industrial_dock,False,DOWN,22,First Class,0.0,29.6,17.4,23.5,none,normal,0.0
